Student Roll No,Course Number,Reason for Not allotting Preference
BE16B005,BT4230$outside,Slot Clash with already allotted elective course BT2082
BE16B005,HS2370$outside,Slot Clash with already allotted elective course HS4030
BE16B005,HS2370A$outside,Slot Clash with already allotted elective course HS4030
BE16B009,HS5920$inside,Course capacity is full.
BE16B009,HS5920$outside,Course capacity is full.
BE16B009,HS4450$outside,Slot Clash with already allotted elective course HS4002
BE16B009,HS2370$outside,Slot Clash with already allotted elective course HS4002
BE16B010,HS4030$outside,Slot Clash with already allotted elective course HS4210
BE16B010,HS3090$outside,Slot Clash with already allotted elective course HS4210
BE16B015,HS1110$inside,Course capacity is full.
BE16B015,HS1110$outside,Course capacity is full.
BE16B026,HS1110$inside,Course capacity is full.
BE16B026,HS1110$outside,Course capacity is full.
BE16B026,HS2370A$outside,Slot Clash with already allotted elective course HS2370
BE16B026,HS4571$inside,Slot Clash with already allotted elective course HS2370
BE16B026,HS4571$outside,Slot Clash with already allotted elective course HS2370
BE16B034,HS1110$inside,Course capacity is full.
BE16B034,HS1110$outside,Course capacity is full.
BE16B034,MA2040$outside,Course capacity is full.
BS15B001,BT5330$outside,Already allotted to inside department version of the course
BS15B004,MS3510$outside,Course capacity is full.
BS15B004,MS3510+$outside,Course capacity is full.
BS15B004,GN6001$outside,Slot Clash with already allotted elective course MS3590
BS15B004,BT5440$inside,For this student max credits in semester is 63 and Core courses registered are BT3020(9 credits)+BT3022(10 credits)+BT3122(8 credits)+BT3040(11 credits)+MA2040(9 credits)+ and the following electives which have a higher preference got allotted : MS3590(9 credits)+ and BT5440 takes 9 credits which is greater than the remaining 7 elective credits.
BS15B004,BT5440$outside,For this student max credits in semester is 63 and Core courses registered are BT3020(9 credits)+BT3022(10 credits)+BT3122(8 credits)+BT3040(11 credits)+MA2040(9 credits)+ and the following electives which have a higher preference got allotted : MS3590(9 credits)+ and BT5440 takes 9 credits which is greater than the remaining 7 elective credits.
BS15B004,BT5330$inside,For this student max credits in semester is 63 and Core courses registered are BT3020(9 credits)+BT3022(10 credits)+BT3122(8 credits)+BT3040(11 credits)+MA2040(9 credits)+ and the following electives which have a higher preference got allotted : MS3590(9 credits)+ and BT5330 takes 9 credits which is greater than the remaining 7 elective credits.
BS15B004,BT5330$outside,For this student max credits in semester is 63 and Core courses registered are BT3020(9 credits)+BT3022(10 credits)+BT3122(8 credits)+BT3040(11 credits)+MA2040(9 credits)+ and the following electives which have a higher preference got allotted : MS3590(9 credits)+ and BT5330 takes 9 credits which is greater than the remaining 7 elective credits.
BS15B006,HS1110$outside,Slot Clash with already allotted elective course CH5019
BS15B006,BT5330$inside,Slot Clash with already allotted elective course CH5019
BS15B006,BT5330$outside,Slot Clash with already allotted elective course CH5019
BS15B007,MA2040$outside,Course capacity is full.
BS15B007,CE4010$outside,Slot Clash with already allotted elective course MA2030
BS15B007,MA2031$outside,Slot Clash with already allotted elective course MA2030
BS15B008,ID5030$outside,Course capacity is full.
BS15B008,MS3510$outside,Course capacity is full.
BS15B008,MS3510+$outside,Course capacity is full.
BS15B008,BT5330$outside,Already allotted to inside department version of the course
BS15B013,BT4230$outside,Already allotted to inside department version of the course
BS15B018,MA2040$outside,Course capacity is full.
BS15B023,BT5330$outside,Already allotted to inside department version of the course
BS15B025,BT5330$outside,Already allotted to inside department version of the course
BS15B032,BT4230$outside,Already allotted to inside department version of the course
BS15B032,BT5330$inside,For this student max credits in semester is 63 and Core courses registered are BT3020(9 credits)+BT2042(10 credits)+BT3022(10 credits)+BT3122(8 credits)+BT3040(11 credits)+ and the following electives which have a higher preference got allotted : BT4230(9 credits)+ and BT5330 takes 9 credits which is greater than the remaining 6 elective credits.
BS15B032,BT5330$outside,For this student max credits in semester is 63 and Core courses registered are BT3020(9 credits)+BT2042(10 credits)+BT3022(10 credits)+BT3122(8 credits)+BT3040(11 credits)+ and the following electives which have a higher preference got allotted : BT4230(9 credits)+ and BT5330 takes 9 credits which is greater than the remaining 6 elective credits.
CE15B001,CE4011$outside,Already allotted to inside department version of the course
CE15B002,CE4011$outside,Already allotted to inside department version of the course
CE15B003,CE5850$inside,Slot Clash with already allotted elective course MM3100
CE15B003,CE5850$outside,Slot Clash with already allotted elective course MM3100
CE15B003,CE5500$inside,Slot Clash with already allotted elective course MM3100
CE15B003,CE5500$outside,Slot Clash with already allotted elective course MM3100
CE15B006,CE5670$outside,Already allotted to inside department version of the course
CE15B006,CE6520$inside,Slot Clash with already allotted elective course CE5670
CE15B006,CE6520$outside,Slot Clash with already allotted elective course CE5670
CE15B006,CE5180$inside,Slot Clash with already allotted elective course CE5670
CE15B006,CE5180$outside,Slot Clash with already allotted elective course CE5670
CE15B006,HS3090$outside,Course capacity is full.
CE15B006,HS4002$outside,Slot Clash with already allotted elective course HS3029
CE15B007,HS3090$outside,Course capacity is full.
CE15B007,HS1110$inside,Course capacity is full.
CE15B007,HS1110$outside,Course capacity is full.
CE15B007,HS4210$outside,Slot Clash with already allotted elective course HS4030
CE15B008,HS3090$outside,Slot Clash with already allotted elective course HS3280A
CE15B008,HS3280$outside,Slot Clash with already allotted elective course HS3280A
CE15B008,HS2370A$outside,Slot Clash with already allotted elective course HS3280A
CE15B008,CE5380$outside,Already allotted to inside department version of the course
CE15B008,CE4011$outside,Already allotted to inside department version of the course
CE15B010,HS2370A$outside,Slot Clash with already allotted elective course HS2370
CE15B010,HS4002$outside,Slot Clash with already allotted elective course HS2370
CE15B010,HS3280$outside,Slot Clash with already allotted elective course HS2370
CE15B010,HS3280A$outside,Slot Clash with already allotted elective course HS2370
CE15B010,HS3090$outside,Slot Clash with already allotted elective course HS2370
CE15B010,HS4450$outside,Slot Clash with already allotted elective course HS2370
CE15B010,HS4030$outside,Slot Clash with already allotted elective course HS2370
CE15B010,HS4210$outside,Slot Clash with already allotted elective course HS2370
CE15B010,CE5180$inside,For this student max credits in semester is 63 and Core courses registered are CE2060(11 credits)+CE3020(9 credits)+CE3050(11 credits)+CE4010(10 credits)+CE4011(9 credits)+ and the following electives which have a higher preference got allotted : HS2370(9 credits)+ and CE5180 takes 12 credits which is greater than the remaining 4 elective credits.
CE15B010,CE5180$outside,For this student max credits in semester is 63 and Core courses registered are CE2060(11 credits)+CE3020(9 credits)+CE3050(11 credits)+CE4010(10 credits)+CE4011(9 credits)+ and the following electives which have a higher preference got allotted : HS2370(9 credits)+ and CE5180 takes 12 credits which is greater than the remaining 4 elective credits.
CE15B012,CE3330$outside,Already allotted to inside department version of the course
CE15B012,CE3241$outside,Already allotted to inside department version of the course
CE15B013,HS3021$outside,Course capacity is full.
CE15B013,CE5670$outside,Already allotted to inside department version of the course
CE15B015,CE6870$outside,Already allotted to inside department version of the course
CE15B015,CE5100$outside,Already allotted to inside department version of the course
CE15B019,CE4011$outside,Already allotted to inside department version of the course
CE15B022,HS3021$outside,For this student max credits in semester is 63 and Core courses registered are CE3050(11 credits)+CE4010(10 credits)+MS3510(9 credits)+HS3023(10 credits)+CE6011(9 credits)+ and the following electives which have a higher preference got allotted : CH5440(9 credits)+ and HS3021 takes 10 credits which is greater than the remaining 5 elective credits.
CE15B024,GN6106$outside,Slot Clash with core course CE5100
CE15B027,CE5100$outside,Already allotted to inside department version of the course
CE15B028,CE3420$outside,Already allotted to inside department version of the course
CE15B028,CE3241$inside,Slot Clash with already allotted elective course CE3420
CE15B028,CE3241$outside,Slot Clash with already allotted elective course CE3420
CE15B028,CE4011$inside,Slot Clash with already allotted elective course CE3420
CE15B028,CE4011$outside,Slot Clash with already allotted elective course CE3420
CE15B028,HS5920$inside,Course capacity is full.
CE15B028,HS5920$outside,Course capacity is full.
CE15B028,HS2370$outside,Course capacity is full.
CE15B030,CE3420$outside,Already allotted to inside department version of the course
CE15B030,CE4011$inside,Slot Clash with already allotted elective course CE3420
CE15B030,CE4011$outside,Slot Clash with already allotted elective course CE3420
CE15B030,CE5280$inside,Slot Clash with already allotted elective course CE3420
CE15B030,CE5280$outside,Slot Clash with already allotted elective course CE3420
CE15B030,CE3330$inside,Slot Clash with already allotted elective course CE3420
CE15B030,CE3330$outside,Slot Clash with already allotted elective course CE3420
CE15B030,CE6070$inside,Slot Clash with already allotted elective course CE3420
CE15B030,CE6070$outside,Slot Clash with already allotted elective course CE3420
CE15B034,HS3090$outside,Slot Clash with already allotted elective course HS3280A
CE15B034,HS3280$outside,Slot Clash with already allotted elective course HS3280A
CE15B034,HS2370A$outside,Slot Clash with already allotted elective course HS3280A
CE15B034,CE4011$outside,Already allotted to inside department version of the course
CE15B034,CE5380$outside,Already allotted to inside department version of the course
CE15B034,CE5180$outside,Already allotted to inside department version of the course
CE15B034,CE5338$inside,Slot Clash with already allotted elective course CE5180
CE15B034,CE5338$outside,Slot Clash with already allotted elective course CE5180
CE15B035,HS3021$outside,Course capacity is full.
CE15B035,CE5390$outside,Already allotted to inside department version of the course
CE15B035,CE3330$inside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+CE3050(11 credits)+CE4010(10 credits)+MS3510(9 credits)+CE6011(9 credits)+ and the following electives which have a higher preference got allotted : CE5390(9 credits)+ and CE3330 takes 7 credits which is greater than the remaining 6 elective credits.
CE15B035,CE3330$outside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+CE3050(11 credits)+CE4010(10 credits)+MS3510(9 credits)+CE6011(9 credits)+ and the following electives which have a higher preference got allotted : CE5390(9 credits)+ and CE3330 takes 7 credits which is greater than the remaining 6 elective credits.
CE15B035,CE5670$inside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+CE3050(11 credits)+CE4010(10 credits)+MS3510(9 credits)+CE6011(9 credits)+ and the following electives which have a higher preference got allotted : CE5390(9 credits)+ and CE5670 takes 9 credits which is greater than the remaining 6 elective credits.
CE15B035,CE5670$outside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+CE3050(11 credits)+CE4010(10 credits)+MS3510(9 credits)+CE6011(9 credits)+ and the following electives which have a higher preference got allotted : CE5390(9 credits)+ and CE5670 takes 9 credits which is greater than the remaining 6 elective credits.
CE15B040,CE4011$inside,For this student max credits in semester is 63 and Core courses registered are CE4010(10 credits)+CE3050(11 credits)+CE3020(9 credits)+HS5920(9 credits)+CE4310(9 credits)+CE3330(7 credits)+ and CE4011 takes 9 credits which is greater than the 8 remaining elective credits.
CE15B040,CE4011$outside,For this student max credits in semester is 63 and Core courses registered are CE4010(10 credits)+CE3050(11 credits)+CE3020(9 credits)+HS5920(9 credits)+CE4310(9 credits)+CE3330(7 credits)+ and CE4011 takes 9 credits which is greater than the 8 remaining elective credits.
CE15B040,CE5180$inside,For this student max credits in semester is 63 and Core courses registered are CE4010(10 credits)+CE3050(11 credits)+CE3020(9 credits)+HS5920(9 credits)+CE4310(9 credits)+CE3330(7 credits)+ and CE5180 takes 12 credits which is greater than the 8 remaining elective credits.
CE15B040,CE5180$outside,For this student max credits in semester is 63 and Core courses registered are CE4010(10 credits)+CE3050(11 credits)+CE3020(9 credits)+HS5920(9 credits)+CE4310(9 credits)+CE3330(7 credits)+ and CE5180 takes 12 credits which is greater than the 8 remaining elective credits.
CE15B040,CE5338$inside,For this student max credits in semester is 63 and Core courses registered are CE4010(10 credits)+CE3050(11 credits)+CE3020(9 credits)+HS5920(9 credits)+CE4310(9 credits)+CE3330(7 credits)+ and CE5338 takes 9 credits which is greater than the 8 remaining elective credits.
CE15B040,CE5338$outside,For this student max credits in semester is 63 and Core courses registered are CE4010(10 credits)+CE3050(11 credits)+CE3020(9 credits)+HS5920(9 credits)+CE4310(9 credits)+CE3330(7 credits)+ and CE5338 takes 9 credits which is greater than the 8 remaining elective credits.
CE15B041,CE5390$outside,Already allotted to inside department version of the course
CE15B044,CE4310$outside,Already allotted to inside department version of the course
CE15B044,CE4640$outside,Already allotted to inside department version of the course
CE15B049,CE5390$outside,Already allotted to inside department version of the course
CE15B049,CE3330$inside,Slot Clash with already allotted elective course CE5390
CE15B049,CE3330$outside,Slot Clash with already allotted elective course CE5390
CE15B049,CE4640$inside,Slot Clash with already allotted elective course CE5390
CE15B049,CE4640$outside,Slot Clash with already allotted elective course CE5390
CE15B049,EE5111$outside,Slot Clash with already allotted elective course CE5390
CE15B055,HS3021$outside,Course capacity is full.
CE15B055,CE5730$outside,Already allotted to inside department version of the course
CE15B055,CE3330$inside,For this student max credits in semester is 63 and Core courses registered are CE3050(11 credits)+CE4010(10 credits)+CE4310(9 credits)+CE4640(9 credits)+CE3420(9 credits)+ and the following electives which have a higher preference got allotted : CE5730(9 credits)+ and CE3330 takes 7 credits which is greater than the remaining 6 elective credits.
CE15B055,CE3330$outside,For this student max credits in semester is 63 and Core courses registered are CE3050(11 credits)+CE4010(10 credits)+CE4310(9 credits)+CE4640(9 credits)+CE3420(9 credits)+ and the following electives which have a higher preference got allotted : CE5730(9 credits)+ and CE3330 takes 7 credits which is greater than the remaining 6 elective credits.
CE15B062,HS3021$outside,Course capacity is full.
CE15B062,HS2370A$outside,Slot Clash with already allotted elective course HS2370
CE15B062,CE3420$inside,Slot Clash with already allotted elective course HS2370
CE15B062,CE3420$outside,Slot Clash with already allotted elective course HS2370
CE15B062,CE4011$inside,Slot Clash with already allotted elective course HS2370
CE15B062,CE4011$outside,Slot Clash with already allotted elective course HS2370
CE15B063,CE4011$outside,Already allotted to inside department version of the course
CE15B065,CE5390$outside,Already allotted to inside department version of the course
CE15B065,CE6520$inside,For this student max credits in semester is 63 and Core courses registered are CE3050(11 credits)+CE4010(10 credits)+MS3510(9 credits)+CE6870(9 credits)+CE3330(7 credits)+ and the following electives which have a higher preference got allotted : CE5390(9 credits)+ and CE6520 takes 9 credits which is greater than the remaining 8 elective credits.
CE15B065,CE6520$outside,For this student max credits in semester is 63 and Core courses registered are CE3050(11 credits)+CE4010(10 credits)+MS3510(9 credits)+CE6870(9 credits)+CE3330(7 credits)+ and the following electives which have a higher preference got allotted : CE5390(9 credits)+ and CE6520 takes 9 credits which is greater than the remaining 8 elective credits.
CE15B066,HS1110$inside,Course capacity is full.
CE15B066,HS1110$outside,Course capacity is full.
CE15B068,CE4011$outside,Already allotted to inside department version of the course
CE15B068,CE5338$inside,For this student max credits in semester is 63 and Core courses registered are CE3050(11 credits)+CE4010(10 credits)+HS1090(9 credits)+CE4310(9 credits)+CE3330(7 credits)+CE5100(6 credits)+ and the following electives which have a higher preference got allotted : CE4011(9 credits)+ and CE5338 takes 9 credits which is greater than the remaining 2 elective credits.
CE15B068,CE5338$outside,For this student max credits in semester is 63 and Core courses registered are CE3050(11 credits)+CE4010(10 credits)+HS1090(9 credits)+CE4310(9 credits)+CE3330(7 credits)+CE5100(6 credits)+ and the following electives which have a higher preference got allotted : CE4011(9 credits)+ and CE5338 takes 9 credits which is greater than the remaining 2 elective credits.
CE15B069,CE5380$outside,Already allotted to inside department version of the course
CE15B069,CE4310$inside,Course capacity is full.
CE15B071,CE4011$inside,Slot Clash with core course CE5014
CE15B071,CE4011$outside,Slot Clash with core course CE5014
CE15B073,CE4011$outside,Already allotted to inside department version of the course
CE15B074,CE4011$outside,Already allotted to inside department version of the course
CE15B075,HS3021$outside,Course capacity is full.
CE15B076,CE4901$outside,Already allotted to inside department version of the course
CE15B077,HS3021$outside,Course capacity is full.
CE15B077,CE4011$outside,Already allotted to inside department version of the course
CE15B077,CE5800$outside,Already allotted to inside department version of the course
CE15B078,CE4011$outside,Already allotted to inside department version of the course
CE15B078,CE3330$outside,Already allotted to inside department version of the course
CE15B086,HS1110$inside,Course capacity is full.
CE15B086,HS1110$outside,Course capacity is full.
CE15B086,HS4571$inside,Course capacity is full.
CE15B086,HS4571$outside,Course capacity is full.
CE15B086,HS3090$outside,Course capacity is full.
CE15B086,MS3540$outside,Course capacity is full.
CE15B087,CE4011$outside,Already allotted to inside department version of the course
CE15B087,CE3241$inside,Slot Clash with already allotted elective course CE4011
CE15B087,CE3241$outside,Slot Clash with already allotted elective course CE4011
CE15B087,CE3420$outside,Already allotted to inside department version of the course
CE15B087,CE3330$inside,Slot Clash with already allotted elective course CE3420
CE15B087,CE3330$outside,Slot Clash with already allotted elective course CE3420
CE15B089,HS1110$inside,Course capacity is full.
CE15B089,HS1110$outside,Course capacity is full.
CE15B089,HS3090$outside,Course capacity is full.
CE15B092,CE5730$outside,Already allotted to inside department version of the course
CE15B092,HS1110$inside,Slot Clash with already allotted elective course HS4002
CE15B092,HS1110$outside,Slot Clash with already allotted elective course HS4002
CE15B092,HS5920$inside,Slot Clash with already allotted elective course HS4002
CE15B092,HS5920$outside,Slot Clash with already allotted elective course HS4002
CE15B092,HS4571$inside,Slot Clash with already allotted elective course HS4002
CE15B092,HS4571$outside,Slot Clash with already allotted elective course HS4002
CE15B094,MS3510$outside,Course capacity is full.
CE15B094,CE5730$outside,Already allotted to inside department version of the course
CE15B094,CE5100$outside,Already allotted to inside department version of the course
CE15B094,HS5920$inside,Course capacity is full.
CE15B094,HS5920$outside,Course capacity is full.
CE15B094,HS4571$inside,Course capacity is full.
CE15B094,HS4571$outside,Course capacity is full.
CE15B094,HS1110$inside,Course capacity is full.
CE15B094,HS1110$outside,Course capacity is full.
CE15B094,CE4011$outside,Already allotted to inside department version of the course
CE15B095,CE4310$inside,Course capacity is full.
CE15B095,CE4640$inside,Slot Clash with already allotted elective course CE4310
CE15B095,CE4640$outside,Slot Clash with already allotted elective course CE4310
CE15B095,HS3280A$outside,Slot Clash with already allotted elective course CE4310
CE15B095,HS3280$outside,Slot Clash with already allotted elective course CE4310
CE15B099,HS5920$inside,Course capacity is full.
CE15B099,HS5920$outside,Course capacity is full.
CE15B103,HS5920$outside,Already allotted to inside department version of the course
CE15B103,HS3021$outside,Slot Clash with already allotted elective course HS5920
CE15B103,HS1110$inside,Slot Clash with already allotted elective course HS5920
CE15B103,HS1110$outside,Slot Clash with already allotted elective course HS5920
CE15B103,HS3090$outside,Slot Clash with already allotted elective course HS5920
CE15B103,HS4030$outside,Slot Clash with already allotted elective course HS5920
CE15B103,HS4210$outside,Slot Clash with already allotted elective course HS5920
CE15B103,HS3280$outside,Slot Clash with already allotted elective course HS5920
CE15B104,CE5730$inside,Slot Clash with core course CE6400
CE15B104,CE5730$outside,Slot Clash with core course CE6400
CE15B104,CE5100$outside,Already allotted to inside department version of the course
CE15B104,CE5670$outside,Already allotted to inside department version of the course
CE15B104,HS1110$inside,For this student max credits in semester is 63 and Core courses registered are CE3050(11 credits)+CE4010(10 credits)+CE6400(9 credits)+CE4011(9 credits)+CE6520(9 credits)+ and the following electives which have a higher preference got allotted : CE5100(6 credits)+CE5670(9 credits)+ and HS1110 takes 9 credits which is greater than the remaining 0 elective credits.
CE15B104,HS1110$outside,For this student max credits in semester is 63 and Core courses registered are CE3050(11 credits)+CE4010(10 credits)+CE6400(9 credits)+CE4011(9 credits)+CE6520(9 credits)+ and the following electives which have a higher preference got allotted : CE5100(6 credits)+CE5670(9 credits)+ and HS1110 takes 9 credits which is greater than the remaining 0 elective credits.
CE15B104,HS4571$inside,For this student max credits in semester is 63 and Core courses registered are CE3050(11 credits)+CE4010(10 credits)+CE6400(9 credits)+CE4011(9 credits)+CE6520(9 credits)+ and the following electives which have a higher preference got allotted : CE5100(6 credits)+CE5670(9 credits)+ and HS4571 takes 9 credits which is greater than the remaining 0 elective credits.
CE15B104,HS4571$outside,For this student max credits in semester is 63 and Core courses registered are CE3050(11 credits)+CE4010(10 credits)+CE6400(9 credits)+CE4011(9 credits)+CE6520(9 credits)+ and the following electives which have a higher preference got allotted : CE5100(6 credits)+CE5670(9 credits)+ and HS4571 takes 9 credits which is greater than the remaining 0 elective credits.
CE15B104,HS5920$inside,For this student max credits in semester is 63 and Core courses registered are CE3050(11 credits)+CE4010(10 credits)+CE6400(9 credits)+CE4011(9 credits)+CE6520(9 credits)+ and the following electives which have a higher preference got allotted : CE5100(6 credits)+CE5670(9 credits)+ and HS5920 takes 9 credits which is greater than the remaining 0 elective credits.
CE15B104,HS5920$outside,For this student max credits in semester is 63 and Core courses registered are CE3050(11 credits)+CE4010(10 credits)+CE6400(9 credits)+CE4011(9 credits)+CE6520(9 credits)+ and the following electives which have a higher preference got allotted : CE5100(6 credits)+CE5670(9 credits)+ and HS5920 takes 9 credits which is greater than the remaining 0 elective credits.
CE15B105,CE5100$outside,Already allotted to inside department version of the course
CE15B105,CE3420$outside,Already allotted to inside department version of the course
CE16B007,HS2370A$outside,Slot Clash with already allotted elective course HS2370
CE16B007,HS3280A$outside,Slot Clash with already allotted elective course HS2370
CE16B007,HS3280$outside,Slot Clash with already allotted elective course HS2370
CE16B007,HS4002$outside,Slot Clash with already allotted elective course HS2370
CE16B007,HS4030$outside,Slot Clash with already allotted elective course HS2370
CE16B007,HS4210$outside,Slot Clash with already allotted elective course HS2370
CE16B008,MA2040$outside,Course capacity is full.
CE16B010,HS2370$outside,Slot Clash with already allotted elective course HS2370A
CE16B013,HS5920$outside,Already allotted to inside department version of the course
CE16B013,HS4002$outside,Slot Clash with already allotted elective course HS5920
CE16B013,HS3280A$outside,Slot Clash with already allotted elective course HS5920
CE16B013,HS3280$outside,Slot Clash with already allotted elective course HS5920
CE16B013,HS2370$outside,Slot Clash with already allotted elective course HS5920
CE16B013,HS2370A$outside,Slot Clash with already allotted elective course HS5920
CE16B025,HS4571$outside,Already allotted to inside department version of the course
CE16B025,HS1110$inside,Slot Clash with already allotted elective course HS4571
CE16B025,HS1110$outside,Slot Clash with already allotted elective course HS4571
CE16B025,HS5920$inside,Slot Clash with already allotted elective course HS4571
CE16B025,HS5920$outside,Slot Clash with already allotted elective course HS4571
CE16B030,HS4571$outside,Already allotted to inside department version of the course
CE16B030,HS1110$inside,Slot Clash with already allotted elective course HS4571
CE16B030,HS1110$outside,Slot Clash with already allotted elective course HS4571
CE16B030,HS5920$inside,Slot Clash with already allotted elective course HS4571
CE16B030,HS5920$outside,Slot Clash with already allotted elective course HS4571
CE16B030,HS3090$outside,Slot Clash with already allotted elective course HS4571
CE16B030,HS2370$outside,Slot Clash with already allotted elective course HS4571
CE16B030,HS3280$outside,Slot Clash with already allotted elective course HS4571
CE16B030,HS4450$outside,Slot Clash with already allotted elective course HS4571
CE16B033,HS2370$outside,Slot Clash with already allotted elective course HS2370A
CE16B033,HS5920$inside,Slot Clash with already allotted elective course HS2370A
CE16B033,HS5920$outside,Slot Clash with already allotted elective course HS2370A
CE16B036,MA2020$outside,Course capacity is full.
CE16B040,HS2370$outside,Slot Clash with already allotted elective course HS2370A
CE16B040,HS3280A$outside,Slot Clash with already allotted elective course HS2370A
CE16B040,HS3280$outside,Slot Clash with already allotted elective course HS2370A
CE16B040,HS4002$outside,Slot Clash with already allotted elective course HS2370A
CE16B040,HS4030$outside,Slot Clash with already allotted elective course HS2370A
CE16B040,HS4210$outside,Slot Clash with already allotted elective course HS2370A
CE16B041,HS2370$outside,Slot Clash with already allotted elective course HS2370A
CE16B041,HS3280A$outside,Slot Clash with already allotted elective course HS2370A
CE16B041,HS3280$outside,Slot Clash with already allotted elective course HS2370A
CE16B041,HS4002$outside,Slot Clash with already allotted elective course HS2370A
CE16B041,HS4030$outside,Slot Clash with already allotted elective course HS2370A
CE16B041,HS4210$outside,Slot Clash with already allotted elective course HS2370A
CE16B043,HS2370$outside,Slot Clash with already allotted elective course HS2370A
CE16B043,HS5920$inside,Slot Clash with already allotted elective course HS2370A
CE16B043,HS5920$outside,Slot Clash with already allotted elective course HS2370A
CE16B048,HS2370$outside,Slot Clash with already allotted elective course HS2370A
CE16B048,HS3280A$outside,Slot Clash with already allotted elective course HS2370A
CE16B048,HS3280$outside,Slot Clash with already allotted elective course HS2370A
CE16B048,HS4002$outside,Slot Clash with already allotted elective course HS2370A
CE16B048,HS4030$outside,Slot Clash with already allotted elective course HS2370A
CE16B048,HS4210$outside,Slot Clash with already allotted elective course HS2370A
CE16B050,HS2370$outside,Slot Clash with already allotted elective course HS2370A
CE16B050,HS5920$inside,Slot Clash with already allotted elective course HS2370A
CE16B050,HS5920$outside,Slot Clash with already allotted elective course HS2370A
CE16B054,MA2031$outside,Course capacity is full.
CE16B054,MA2020$outside,Slot Clash with already allotted elective course MA2030
CE16B054,HS1110$inside,Course capacity is full.
